,local_AA,local_CA,global_AA,global_CA,blosum_dist
0,1.681,0.910,2.384,1.786,-6.339850002884625
0,1.703,1.453,2.263,2.585,-6.0
0,2.971,1.334,3.226,1.915,20.89735285398626
0,4.235,2.160,4.612,3.166,-10.0
0,5.561,2.390,6.593,3.388,-9.509775004326938
0,3.809,1.835,4.019,2.193,-2.0
0,,,,,-10.339850002884624
0,4.770,3.385,5.303,4.226,-5.0
0,2.779,1.473,3.229,2.048,-19.03677461028802
0,3.927,3.218,11.168,10.722,-10.339850002884624
0,3.128,2.696,3.919,3.340,-18.094737505048094
0,2.835,1.801,3.373,2.344,-6.0
0,1.765,0.262,2.342,1.312,-1.0
0,4.613,3.436,6.668,5.462,-8.0
0,4.759,2.893,6.751,5.466,-16.844129532345626
0,0.969,0.228,1.058,0.540,9.287712379549449
0,3.991,2.123,5.433,3.577,-9.287712379549449
0,3.603,2.156,4.239,3.560,-3.0
0,5.457,4.621,7.118,6.662,-10.0
0,4.847,3.161,6.663,5.174,-6.339850002884625
0,5.117,3.174,7.252,5.051,-6.643856189774725
0,2.963,1.245,3.304,1.513,-4.0
0,5.550,3.336,7.807,6.911,-10.0
0,3.866,2.491,4.376,3.408,-12.0
0,3.488,2.374,7.517,6.104,-11.60964047443681
0,1.623,0.567,3.833,3.746,-4.0
0,1.733,0.751,1.826,0.857,6.0
0,5.479,3.381,6.456,5.151,-9.287712379549449
0,3.355,2.370,4.408,4.238,-4.0
0,5.291,3.617,7.154,6.810,-9.287712379549449
0,0.948,0.341,0.965,0.503,10.0
0,1.499,0.224,1.692,0.861,-3.0
0,4.101,2.632,4.851,3.420,-3.0
0,5.639,3.553,7.542,6.666,-3.0
0,4.713,1.961,6.224,4.114,-6.0
0,6.472,4.505,14.229,12.284,-18.575424759098897
0,3.791,1.951,4.204,2.424,7.924812503605781
0,1.359,0.268,1.442,0.551,7.924812503605781
0,2.298,1.249,3.551,2.965,7.924812503605781
0,0.739,0.739,0.921,0.941,-8.0
0,2.249,1.296,4.743,4.538,-7.924812503605781
0,3.731,2.607,5.368,4.212,-6.339850002884625
0,1.132,0.257,1.479,0.711,11.094737505048094
0,4.445,3.440,7.427,7.431,-22.18947501009619
0,3.083,0.756,5.171,2.962,3.0
0,5.001,2.148,7.117,6.328,-8.422064766172813
0,5.399,3.215,8.882,7.911,-5.0
0,2.700,2.129,4.440,4.080,-7.924812503605781
0,3.366,2.321,4.372,3.191,-14.0
0,2.382,1.801,4.767,4.020,-4.754887502163469
0,3.129,1.851,3.715,2.124,5.0
0,2.561,1.291,3.341,1.999,-1.5849625007211563
0,2.993,1.088,3.278,1.439,-4.0
0,1.134,0.378,1.457,1.075,-4.754887502163469
0,2.355,2.355,4.941,4.931,-11.094737505048094
0,6.461,5.552,12.108,11.837,-16.253496664211536
0,3.316,2.523,5.459,4.283,-9.509775004326938
0,2.804,1.743,4.479,3.095,-3.0
0,4.471,3.612,5.370,4.646,-10.339850002884624
0,1.344,0.360,1.384,0.516,7.0
0,2.702,1.035,4.154,2.298,-8.0
0,2.428,1.670,3.957,2.346,-6.965784284662087
0,3.542,1.882,3.785,2.176,-6.0
0,3.836,2.030,3.949,2.597,-5.0
0,0.601,0.268,0.731,0.624,3.0
0,4.187,2.369,5.894,5.171,-12.0
0,2.570,1.842,2.889,2.809,2.0
0,5.185,3.023,9.829,8.840,-9.509775004326938
0,4.700,2.323,6.137,3.396,-9.287712379549449
0,1.850,1.139,2.676,2.770,-7.754887502163468
0,5.011,2.079,7.729,6.229,-20.0
0,1.721,0.506,1.874,1.364,6.0
0,5.882,3.755,9.482,8.783,-11.60964047443681
0,4.246,2.058,5.871,3.771,-4.0
0,5.994,4.609,11.650,10.500,-11.229419688230417
0,4.103,2.710,4.626,2.998,-8.0
0,8.424,8.424,25.010,24.977,-4.0
0,4.238,1.803,4.709,2.520,-6.0
0,4.939,2.557,9.984,10.126,-11.229419688230417
0,2.564,1.519,3.104,2.734,-4.0
0,4.000,2.422,4.995,3.679,-9.287712379549449
0,1.003,0.514,1.232,0.798,-18.0
0,1.928,0.064,2.579,0.625,8.0
0,2.757,1.348,4.138,2.538,-1.0
0,2.546,1.248,4.762,3.924,-2.0
0,0.921,0.202,0.991,0.459,9.287712379549449
0,1.044,0.208,1.104,0.462,9.287712379549449
0,4.705,3.111,8.208,7.007,-6.339850002884625
0,3.802,3.802,7.964,7.993,-10.0
0,1.913,1.822,2.226,2.201,-3.0
0,2.136,1.624,4.027,3.759,-6.339850002884625
0,5.546,4.085,9.006,7.768,-21.50977500432694
0,5.907,4.672,6.722,5.383,-12.92481250360578
0,4.055,3.640,6.211,5.993,-26.5754247590989
0,4.348,2.856,6.610,5.745,-11.60964047443681
0,2.854,1.406,3.999,2.960,-6.965784284662087
0,2.762,1.907,4.327,4.050,-8.0
0,1.251,0.142,1.608,0.996,7.0
0,4.544,2.802,5.624,4.854,-19.019550008653876
0,2.210,0.952,2.705,1.160,-4.0
0,4.302,2.348,5.309,3.594,-13.931568569324174
0,3.075,1.639,3.402,2.094,-7.0
