,local_AA,local_CA,global_AA,global_CA,blosum_dist
0,6.461,5.552,12.108,11.837,-12.0
0,3.316,2.523,5.459,4.283,-18.0
0,2.804,1.743,4.479,3.095,-9.0
0,4.471,3.612,5.370,4.646,-30.18506523353571
0,1.344,0.360,1.384,0.516,4.0
0,2.702,1.035,4.154,2.298,-25.84962500721156
0,2.428,1.670,3.957,2.346,-16.253496664211536
0,3.542,1.882,3.785,2.176,-13.0
0,3.836,2.030,3.949,2.597,-7.0
0,0.601,0.268,0.731,0.624,-1.0
0,4.187,2.369,5.894,5.171,-33.68825906469125
0,2.570,1.842,2.889,2.809,-4.0
0,5.185,3.023,9.829,8.840,-15.849625007211563
0,4.700,2.323,6.137,3.396,-9.0
0,1.850,1.139,2.676,2.770,-5.169925001442312
0,5.011,2.079,7.729,6.229,-36.18947501009619
0,1.721,0.506,1.874,1.364,-4.0
0,5.882,3.755,9.482,8.783,-30.0
0,4.246,2.058,5.871,3.771,-16.253496664211536
0,5.994,4.609,11.650,10.500,-38.053747805010275
0,4.103,2.710,4.626,2.998,-27.863137138648348
0,8.424,8.424,25.010,24.977,-30.18506523353571
0,4.238,1.803,4.709,2.520,-13.0
0,4.939,2.557,9.984,10.126,-28.07354922057604
0,2.564,1.519,3.104,2.734,-6.0
0,4.000,2.422,4.995,3.679,-16.0
0,1.003,0.514,1.232,0.798,-11.094737505048094
0,1.928,0.064,2.579,0.625,9.0
0,2.757,1.348,4.138,2.538,-7.0
0,2.546,1.248,4.762,3.924,-14.0
0,0.921,0.202,0.991,0.459,10.339850002884624
0,1.044,0.208,1.104,0.462,10.339850002884624
0,4.705,3.111,8.208,7.007,-26.0
0,3.802,3.802,7.964,7.993,-25.84962500721156
0,1.913,1.822,2.226,2.201,-11.0
0,2.136,1.624,4.027,3.759,-17.43458750793272
0,5.546,4.085,9.006,7.768,-34.82892142331043
0,5.907,4.672,6.722,5.383,-27.863137138648348
0,4.055,3.640,6.211,5.993,-23.774437510817343
0,4.348,2.856,6.610,5.745,-17.43458750793272
0,2.854,1.406,3.999,2.960,-24.0
0,2.762,1.907,4.327,4.050,-8.0
0,1.251,0.142,1.608,0.996,4.0
0,4.544,2.802,5.624,4.854,-16.844129532345626
0,2.210,0.952,2.705,1.160,-4.0
0,4.302,2.348,5.309,3.594,-26.0
0,3.075,1.639,3.402,2.094,-13.0
0,4.875,3.694,6.087,5.445,-7.0
0,4.223,1.401,5.346,2.815,-20.0
0,3.610,1.848,5.299,3.067,-13.0
0,4.410,2.953,5.809,5.115,-14.0
0,2.089,1.209,4.111,2.659,-11.0
0,4.699,2.636,4.868,3.002,-36.49561398674886
0,7.722,5.441,12.373,11.020,-13.0
0,5.310,3.476,6.990,5.911,-31.019550008653873
0,5.333,3.311,6.451,5.380,-22.18947501009619
